Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXEMMYCSERIES                   3    15.0    1.50  INSUFFICIENT
KXWENCC                         3   285.0   28.50  INSUFFICIENT
KXPGASOLHEIM                    3    30.0    3.00  INSUFFICIENT
KXGOVRINOMR                     3   175.0   17.50  INSUFFICIENT
KXGOVRINOMD                     3    39.5    3.95  INSUFFICIENT
KXNASCARCUPSEASON               3    30.0    3.00  INSUFFICIENT
KXMLP                           3     5.0    0.50  INSUFFICIENT
KXBBCHARTPOSITIONALBUM          3   345.0   34.50  INSUFFICIENT
KXRUT                           3   200.0   20.00  INSUFFICIENT
KXEARTHQUAKEM                   3    40.0    4.00  INSUFFICIENT
KXCAC40                         3   200.0   20.00  INSUFFICIENT
KXHYPEMINMON                    3   125.0   12.50  INSUFFICIENT
KXETHMAXMON                     3     5.0    0.50  INSUFFICIENT
KXTECHRANKLISTAICODE            3    35.0    3.50  INSUFFICIENT
KXYTTOPVIDEO2D                  3   460.0   46.00  INSUFFICIENT
KXCBDECISIONKOREA               3    15.0    1.50  INSUFFICIENT
KXBIG3                          3   395.0   39.50  INSUFFICIENT
KXBNBD                          3   330.0   33.00  INSUFFICIENT
KXWEFTWEETS                     3    40.0    4.00  INSUFFICIENT
KXASEANBTTS                     3   440.0   44.00  INSUFFICIENT
KXUCLBTTS                       3    30.0    3.00  INSUFFICIENT
KXTALLAHASSEEMAYOR              3    10.0    1.00  INSUFFICIENT
KXSTPETERSBURGMAYOR             3    20.0    2.00  INSUFFICIENT
KXPENSACOLAMAYOR                3    30.0    3.00  INSUFFICIENT
KXNETFLIXRANKSHOWRUNNERUP       3     5.0    0.50  INSUFFICIENT
KXLALIGA2HBTTS                  3   170.0   17.00  INSUFFICIENT
KXLALIGA1HBTTS                  3    25.0    2.50  INSUFFICIENT
KXEFLCHAMPIONSHIPBTTS           3     5.0    0.50  INSUFFICIENT
KXLALIGAFTTS                    3   100.0   10.00  INSUFFICIENT
KXAAAGASW                       3    10.0    1.00  INSUFFICIENT
KXNWSLBTTS                      3    45.0    4.50  INSUFFICIENT
KXURYPDBTTS                     3    15.0    1.50  INSUFFICIENT
KXBRASILEIROB1HBTTS             3    25.0    2.50  INSUFFICIENT
KXAPFDDHBTTS                    3    25.0    2.50  INSUFFICIENT
KXSRBSLBTTS                     3    45.0    4.50  INSUFFICIENT
KXFRASUPERCUPSPREAD             3    25.0    2.50  INSUFFICIENT
KXFRASUPERCUP1HTOTAL            3    20.0    2.00  INSUFFICIENT
KXSUPERLIGBTTS                  3    20.0    2.00  INSUFFICIENT
KXSVNPLBTTS                     3    45.0    4.50  INSUFFICIENT
KXLIGAEXPBTTS                   3    40.0    4.00  INSUFFICIENT
KXLIGAEXP1HBTTS                 3    35.0    3.50  INSUFFICIENT
KXFRASUPERCUPGAME               3     5.0    0.50  INSUFFICIENT
KXFRASUPERCUP1H                 3    15.0    1.50  INSUFFICIENT
KXGER3LBTTS                     3    50.0    5.00  INSUFFICIENT
KXEFLCHAMPIONSHIP1HSPREAD       3   465.0   46.50  INSUFFICIENT
KXENGCS1HTOTAL                  3    20.0    2.00  INSUFFICIENT
KXENGCSGAME                     3     5.0    0.50  INSUFFICIENT
KXENGCSFTTS                     3   315.0   31.50  INSUFFICIENT
KXENGCS1H                       3    10.0    1.00  INSUFFICIENT
KXBUNDESLIGA2BTTS               3    10.0    1.00  INSUFFICIENT
KXKLEAGUEBTTS                   3    10.0    1.00  INSUFFICIENT
KXKLEAGUE1HBTTS                 3    20.0    2.00  INSUFFICIENT
KXWNBA1QWINNER                  3   115.0   11.50  INSUFFICIENT
KXNFL1Q                         3   115.0   11.50  INSUFFICIENT
KXLNBPGAME                      3    25.0    2.50  INSUFFICIENT
KXTEMPLAXH                      3    30.0    3.00  INSUFFICIENT
KXTEMPDCH                       3   385.0   38.50  INSUFFICIENT
KXINDYCARPOLE                   3   260.0   26.00  INSUFFICIENT
KXNH1D                          3    20.5    2.05  INSUFFICIENT
KXFUJIMORIOUT                   3    35.0    3.50  INSUFFICIENT
KXCHINAUNBANBTC                 3    35.0    3.50  INSUFFICIENT
KXMESENATEPERSON                3     5.0    0.50  INSUFFICIENT
KXBLUESLIP                      3    35.0    3.50  INSUFFICIENT
KXBIDENBOOK                     3    25.0    2.50  INSUFFICIENT
KXALBUMRELEASEDATEDUALIPA       3    40.0    4.00  INSUFFICIENT
KXALITOOUT                      3    15.0    1.50  INSUFFICIENT
KXFBUSTER                       3    30.0    3.00  INSUFFICIENT
KXSANCTIONRUSSIA                3    20.0    2.00  INSUFFICIENT
KXCALLIMPEACHRCONGRESS          3    15.0    1.50  INSUFFICIENT
KXFEDHIKE                       3     5.0    0.50  INSUFFICIENT
KXMJSCHEDULE                    3     5.0    0.50  INSUFFICIENT
KXEUUK                          3    30.0    3.00  INSUFFICIENT
KXOAIAGI                        3     4.5    0.45  INSUFFICIENT
KXRAMPBREX                      2    32.5    3.25  INSUFFICIENT
KXOAIANTH                       2    17.5    1.75  INSUFFICIENT
KXDEELRIP                       2    30.0    3.00  INSUFFICIENT
KXUSCLIMATE                     2    29.2    2.92  INSUFFICIENT
KXINTLPLAYAGAIN                 2    27.5    2.75  INSUFFICIENT
KXGREENTERRITORY                2     5.2    0.53  INSUFFICIENT
GOVPARTYDE                      2    35.0    3.50  INSUFFICIENT
KXZELENSKYPUTIN                 2    11.8    1.18  INSUFFICIENT
KXVETOOVERRIDE                  2    20.0    2.00  INSUFFICIENT
KXRECOGSOMALI                   2    31.5    3.15  INSUFFICIENT
KXRECOGROC                      2    23.8    2.38  INSUFFICIENT
KXINSURRECTION                  2    15.0    1.50  INSUFFICIENT
KXGREENLAND                     2     5.5    0.55  INSUFFICIENT
KXFEDEND                        2     9.8    0.97  INSUFFICIENT
KXABRAHAMQ                      2    21.5    2.15  INSUFFICIENT
GOVPARTYWV                      2    30.2    3.02  INSUFFICIENT
GOVPARTYMO                      2    34.8    3.48  INSUFFICIENT
GOVPARTYIN                      2    30.5    3.05  INSUFFICIENT
GOVPARTYNH                      2    30.0    3.00  INSUFFICIENT
SENATEIN                        2    12.5    1.25  INSUFFICIENT
SENATEWI                        2    12.5    1.25  INSUFFICIENT
SENATEWA                        2    14.5    1.45  INSUFFICIENT
SENATEVT                        2    13.5    1.35  INSUFFICIENT
SENATEUT                        2    15.0    1.50  INSUFFICIENT
SENATEOH                        2    10.0    1.00  INSUFFICIENT
SENATENY                        2     7.8    0.78  INSUFFICIENT
SENATENV                        2    12.5    1.25  INSUFFICIENT
SENATEND                        2    12.5    1.25  INSUFFICIENT
SENATEMO                        2    12.5    1.25  INSUFFICIENT
SENATEMD                        2    12.8    1.27  INSUFFICIENT
SENATEHI                        2     5.0    0.50  INSUFFICIENT
SENATEFL                        2    15.0    1.50  INSUFFICIENT
SENATECT                        2    15.0    1.50  INSUFFICIENT
SENATECA                        2     8.5    0.85  INSUFFICIENT
SENATEAZ                        2    12.5    1.25  INSUFFICIENT
GOVPARTYUT                      2    33.5    3.35  INSUFFICIENT
GOVPARTYMT                      2    25.0    2.50  INSUFFICIENT
GOVPARTYNC                      2    32.5    3.25  INSUFFICIENT
KXMOVIEDELAY                    2    20.0    2.00  INSUFFICIENT
GOVPARTYND                      2    25.0    2.50  INSUFFICIENT
KXGHANAPARLI                    2    40.0    4.00  INSUFFICIENT
KXPHILIPPINESSENATE             2    37.5    3.75  INSUFFICIENT
KXATPRETIRE                     2    82.5    8.25  INSUFFICIENT
KXRECSSNBER                     2     7.5    0.75  INSUFFICIENT
KXANTHROPICSECTOR               2    22.5    2.25  INSUFFICIENT
KXCOPPERCABLE                   2    35.0    3.50  INSUFFICIENT
KXBOLAUNCH                      2    37.5    3.75  INSUFFICIENT
KXTXSENOUTCOME                  2     7.5    0.75  INSUFFICIENT
KXLAKECONF                      2    25.0    2.50  INSUFFICIENT
KXICECONF                       2    30.0    3.00  INSUFFICIENT
KXESVI                          2    40.0    4.00  INSUFFICIENT
KXCOPAAMERICAHOST               2    95.0    9.50  INSUFFICIENT
KXCITYNBAEXPAND                 2    22.5    2.25  INSUFFICIENT
KXBOUGAINVILLEIND               2    25.0    2.50  INSUFFICIENT
KXANTHROPICLEADLEFT             2    25.0    2.50  INSUFFICIENT
GOVPARTYLA                      2     9.5    0.95  INSUFFICIENT
KXLTGOVGA                       2    32.5    3.25  INSUFFICIENT
KXNAVAJOPRES                    2    35.0    3.50  INSUFFICIENT
GOVPARTYMS                      2    34.0    3.40  INSUFFICIENT
KXSWISSREF                      2    30.0    3.00  INSUFFICIENT
KXMECKLENBURGVORPOMMERN         2    15.0    1.50  INSUFFICIENT
KXJOINRONALDO                   2   177.5   17.75  INSUFFICIENT
KXAKSEN1                        2    15.0    1.50  INSUFFICIENT
KXSERIEARELEGATION              2   440.0   44.00  INSUFFICIENT
KXNBACONF                       2    22.5    2.25  INSUFFICIENT
KXSERBIAPARLI                   2    35.0    3.50  INSUFFICIENT
KXNBASOUTHWEST                  2    20.0    2.00  INSUFFICIENT
KXVEI4                          2   265.0   26.50  INSUFFICIENT
KXLIGUE1TOP                     2   370.0   37.00  INSUFFICIENT
KXLALIGATOP                     2    80.0    8.00  INSUFFICIENT
KXIPOBREX                       2    25.0    2.50  INSUFFICIENT
KXEUROVISIONHOST                2    10.0    1.00  INSUFFICIENT
KXWNBANEXTTEAM                  2    30.0    3.00  INSUFFICIENT
KXNBAMOSTWINS                   2    60.0    6.00  INSUFFICIENT
KXLEBUSFLIGHT                   2    45.0    4.50  INSUFFICIENT
KXCOACHOUTMLBDATE               2    92.5    9.25  INSUFFICIENT
KXNCAAWBUNDEFEATED              2    90.0    9.00  INSUFFICIENT
KXNCAAMBBIGTENREGTOP            2   420.0   42.00  INSUFFICIENT
GOVPARTYSC                      2    18.8    1.88  INSUFFICIENT
GOVPARTYTX                      2     5.0    0.50  INSUFFICIENT
GOVPARTYAL                      2    24.5    2.45  INSUFFICIENT
KXATTYGENMA                     2    33.8    3.38  INSUFFICIENT
GOVPARTYTN                      2    10.8    1.07  INSUFFICIENT
GOVPARTYMD                      2    21.2    2.12  INSUFFICIENT
GOVPARTYPA                      2    17.2    1.73  INSUFFICIENT
KXATTYGENIL                     2    33.8    3.38  INSUFFICIENT
KXSECSTATEOH                    2    32.5    3.25  INSUFFICIENT
KXSECSTATEGA                    2    32.5    3.25  INSUFFICIENT
KXATTYGENOH                     2    35.0    3.50  INSUFFICIENT
KXLIGAMXTOP                     2   412.5   41.25  INSUFFICIENT
GOVPARTYOK                      2    21.5    2.15  INSUFFICIENT
GOVPARTYOH                      2     5.0    0.50  INSUFFICIENT
GOVPARTYKS                      2    10.0    1.00  INSUFFICIENT
GOVPARTYIL                      2     4.0    0.40  INSUFFICIENT
GOVPARTYIA                      2     5.0    0.50  INSUFFICIENT
GOVPARTYGA                      2     5.0    0.50  INSUFFICIENT
KXATTYGENSC                     2    15.5    1.55  INSUFFICIENT
KXTXHOUSE                       2    22.5    2.25  INSUFFICIENT
KXATTYGENGA                     2    35.0    3.50  INSUFFICIENT
KXATTYGENAR                     2    10.2    1.02  INSUFFICIENT
KXATTYGENOK                     2    21.0    2.10  INSUFFICIENT
KXATTYGENKS                     2    35.0    3.50  INSUFFICIENT
KXATTYGENCT                     2    30.0    3.00  INSUFFICIENT
GOVPARTYAR                      2    21.0    2.10  INSUFFICIENT
KXATTYGENFL                     2    15.0    1.50  INSUFFICIENT
KXATTYGENCO                     2    25.0    2.50  INSUFFICIENT
GOVPARTYOR                      2     7.5    0.75  INSUFFICIENT
GOVPARTYCT                      2    19.8    1.98  INSUFFICIENT
KXLTGOVVT                       2    22.5    2.25  INSUFFICIENT
KXLEAVEWALZ                     2     2.8    0.28  INSUFFICIENT
KXGALLEGOOUT                    2    12.5    1.25  INSUFFICIENT
KXDUTERTEOUT                    2    27.5    2.75  INSUFFICIENT
KXDEMSCHUMER                    2    25.0    2.50  INSUFFICIENT
KXCBPAIRPORT                    2    25.0    2.50  INSUFFICIENT
KXBOLOJANOUT                    2    40.0    4.00  INSUFFICIENT
KXATTYGENWI                     2    30.0    3.00  INSUFFICIENT
KXATTYGENMN                     2    32.5    3.25  INSUFFICIENT
GOVPARTYSD                      2    21.5    2.15  INSUFFICIENT
GOVPARTYFL                      2     7.5    0.75  INSUFFICIENT
GOVPARTYCO                      2     9.2    0.93  INSUFFICIENT
KXCANCUTS                       2   135.0   13.50  INSUFFICIENT
GOVPARTYWY                      2    22.0    2.20  INSUFFICIENT
GOVPARTYWI                      2     5.0    0.50  INSUFFICIENT
GOVPARTYMN                      2     6.0    0.60  INSUFFICIENT
GOVPARTYID                      2    20.0    2.00  INSUFFICIENT
GOVPARTYCA                      2     7.2    0.72  INSUFFICIENT
KXGOVCA                         2     1.8    0.17  INSUFFICIENT
KXATTYGENVT                     2    36.0    3.60  INSUFFICIENT
KXATTYGENTX                     2    30.0    3.00  INSUFFICIENT
KXATTYGENNV                     2    32.5    3.25  INSUFFICIENT
KXATTYGENNE                     2    31.5    3.15  INSUFFICIENT
GOVPARTYMA                      2    10.0    1.00  INSUFFICIENT
SENATEWY                        2     7.0    0.70  INSUFFICIENT
SENATEWV                        2    17.2    1.73  INSUFFICIENT
SENATEVA                        2     9.5    0.95  INSUFFICIENT
SENATETX                        2     5.0    0.50  INSUFFICIENT
SENATETN                        2     4.8    0.47  INSUFFICIENT
SENATERI                        2    10.8    1.07  INSUFFICIENT
SENATEOHS                       2     5.0    0.50  INSUFFICIENT
SENATENM                        2     7.0    0.70  INSUFFICIENT
SENATENJ                        2     7.0    0.70  INSUFFICIENT
SENATEMS                        2    14.8    1.48  INSUFFICIENT
SENATEMN                        2    10.0    1.00  INSUFFICIENT
SENATEMI                        2     5.0    0.50  INSUFFICIENT
SENATEME                        2     5.0    0.50  INSUFFICIENT
SENATEMA                        2    11.0    1.10  INSUFFICIENT
SENATEFLS                       2     7.5    0.75  INSUFFICIENT
SENATEDE                        2    20.2    2.02  INSUFFICIENT
KXSENATELA                      2    10.8    1.07  INSUFFICIENT
KXSECSTATEWI                    2    32.5    3.25  INSUFFICIENT
KXNCCOURT                       2    27.5    2.75  INSUFFICIENT
KXHOUSEWA8                      2    33.5    3.35  INSUFFICIENT
KXHOUSEVA10                     2    11.5    1.15  INSUFFICIENT
KXHOUSEUT03                     2    25.5    2.55  INSUFFICIENT
KXHOUSEUT02                     2    26.5    2.65  INSUFFICIENT
KXHOUSEUT01                     2    28.2    2.83  INSUFFICIENT
KXHOUSETX9                      2    22.5    2.25  INSUFFICIENT
KXHOUSETX35                     2    32.5    3.25  INSUFFICIENT
KXHOUSETX32                     2    20.0    2.00  INSUFFICIENT
KXHOUSENC11                     2    25.0    2.50  INSUFFICIENT
KXHOUSEMO5                      2    15.0    1.50  INSUFFICIENT
KXHOUSEIN7                      2    25.0    2.50  INSUFFICIENT
KXATTYGENMD                     2    19.8    1.98  INSUFFICIENT
KXATTYGENIA                     2    30.0    3.00  INSUFFICIENT
HOUSEWI3                        2    12.5    1.25  INSUFFICIENT
HOUSEWI1                        2    25.0    2.50  INSUFFICIENT
HOUSEWA3                        2     5.0    0.50  INSUFFICIENT
HOUSEVA7                        2    33.5    3.35  INSUFFICIENT
HOUSEVA2                        2    30.0    3.00  INSUFFICIENT
HOUSEVA1                        2    35.0    3.50  INSUFFICIENT
HOUSETX34                       2    30.0    3.00  INSUFFICIENT
HOUSETX28                       2    35.0    3.50  INSUFFICIENT
HOUSETX15                       2     5.0    0.50  INSUFFICIENT
HOUSEPA8                        2    92.5    9.25  INSUFFICIENT
HOUSEPA7                        2   405.0   40.50  INSUFFICIENT
HOUSEPA17                       2    72.2    7.22  INSUFFICIENT
HOUSEPA1                        2    10.0    1.00  INSUFFICIENT
HOUSEPA10                       2    77.5    7.75  INSUFFICIENT
HOUSEOR5                        2    72.0    7.20  INSUFFICIENT
HOUSEOH9                        2   102.5   10.25  INSUFFICIENT
HOUSEOH13                       2   260.0   26.00  INSUFFICIENT
HOUSEOH1                        2   169.0   16.90  INSUFFICIENT
HOUSENY4                        2    60.0    6.00  INSUFFICIENT
HOUSENY3                        2   277.5   27.75  INSUFFICIENT
HOUSENY22                       2    19.5    1.95  INSUFFICIENT
HOUSENY19                       2    37.0    3.70  INSUFFICIENT
HOUSENY18                       2    50.0    5.00  INSUFFICIENT
HOUSENY17                       2    35.0    3.50  INSUFFICIENT
HOUSENV4                        2    92.0    9.20  INSUFFICIENT
HOUSENV3                        2    60.0    6.00  INSUFFICIENT
HOUSENV1                        2    27.2    2.73  INSUFFICIENT
HOUSENM2                        2    26.5    2.65  INSUFFICIENT
HOUSENJ9                        2    89.5    8.95  INSUFFICIENT
HOUSENJ7                        2    10.0    1.00  INSUFFICIENT
HOUSENJ5                        2    39.0    3.90  INSUFFICIENT
HOUSENH1                        2   439.8   43.98  INSUFFICIENT
HOUSENE2                        2    84.8    8.47  INSUFFICIENT
HOUSENC1                        2    32.5    3.25  INSUFFICIENT
HOUSEMT1                        2    55.0    5.50  INSUFFICIENT
HOUSEMN2                        2   272.0   27.20  INSUFFICIENT
HOUSEMI8                        2    44.2    4.42  INSUFFICIENT
HOUSEMI7                        2    30.0    3.00  INSUFFICIENT
HOUSEMI4                        2   170.0   17.00  INSUFFICIENT
HOUSEMI3                        2   141.2   14.12  INSUFFICIENT
HOUSEMI10                       2   150.0   15.00  INSUFFICIENT
HOUSEME2                        2    72.5    7.25  INSUFFICIENT
HOUSEIN1                        2    65.0    6.50  INSUFFICIENT
HOUSEIL17                       2   277.0   27.70  INSUFFICIENT
HOUSEIA3                        2    85.0    8.50  INSUFFICIENT
HOUSEIA1                        2   102.5   10.25  INSUFFICIENT
HOUSEFL23                       2   184.8   18.48  INSUFFICIENT
